[18:49:42] Build started at 2026-05-15T18:49:42-05:00
[18:49:42] Clearing output directory: /var/www/html/bludit/bl-content/static-build/
[18:49:43] OK  render /
[18:49:44] OK  render /?page=2
[18:49:44] OK  render /?page=3
[18:49:45] OK  render /?page=4
[18:49:45] OK  render /?page=5
[18:49:45] OK  render /?page=6
[18:49:46] OK  render /?page=7
[18:49:46] OK  render /?page=8
[18:49:46] OK  render /?page=9
[18:49:47] OK  render /the-evolution-of-a-site-and-a-homelab
[18:49:47] OK  render /homelab-md-offline-homelab-documentation
[18:49:47] OK  render /glimpse-into-your-media
[18:49:48] OK  render /checkout-clix
[18:49:48] OK  render /dumbprojects
[18:49:48] OK  render /resume
[18:49:49] OK  render /homelab-specs
[18:49:49] OK  render /introducing-posteria
[18:49:49] OK  render /libretto-plex-library-metadata-exporter
[18:49:50] OK  render /ai-game-collection
[18:49:50] OK  render /the-perfect-travel-tv-setup
[18:49:51] OK  render /i-won-a-server
[18:49:51] OK  render /plex-server-upgrade
[18:49:51] OK  render /jellyfin-nowplaying
[18:49:52] OK  render /moviecli
[18:49:52] OK  render /pi-hole-tailscale
[18:49:52] OK  render /node-red-upgrades-v3
[18:49:53] OK  render /pi-hole-upgrades
[18:49:53] OK  render /octoprint-node-live-stream
[18:49:53] OK  render /ubuntuce-resurrected
[18:49:54] OK  render /pi-lab-upgrades
[18:49:54] OK  render /gatsby-bludit
[18:49:54] OK  render /octoprint-node
[18:49:55] OK  render /roadside-america
[18:49:55] OK  render /restreamer
[18:49:55] OK  render /pi-lab-monitor-node
[18:49:56] OK  render /new-pi-lab-media-nodes
[18:49:56] OK  render /node-red-twitter-bot
[18:49:56] OK  render /fold-for-covid
[18:49:57] OK  render /404
[18:49:57] OK  render /seti-home-hibernation
[18:49:57] OK  render /pi-dashboard-ui
[18:49:58] OK  render /prometheus-grafana
[18:49:58] OK  render /resources
[18:49:58] OK  render /raspcontroller-android-app
[18:49:59] OK  render /pi-zero-wall-plug-web-server
[18:49:59] OK  render /quick-wordpress
[18:49:59] OK  render /bludit-pi
[18:50:00] OK  render /bludit-vagrant
[18:50:00] OK  render /dev-dashboard-build-tool
[18:50:01] OK  render /raspberry-pi-portable-dev-server
[18:50:01] OK  render /pi-lab-twitter-bot
[18:50:01] OK  render /pi-lab-seti-home-node
[18:50:02] OK  render /pi-lab-sd-card-upgrade
[18:50:02] OK  render /bludit-api-php-example
[18:50:02] OK  render /plugins
[18:50:03] OK  render /pi-lab-setup
[18:50:03] OK  render /first-cms-upgrade
[18:50:03] OK  render /bludit-mention
[18:50:04] OK  render /bludit-flat-file-cms
[18:50:04] OK  render /randomgoat
[18:50:04] OK  render /pi-hole-is-amazing
[18:50:05] OK  render /sysk-podcast
[18:50:05] OK  render /specs
[18:50:05] OK  render /category/ai
[18:50:06] OK  render /category/archived
[18:50:06] OK  render /category/general
[18:50:06] OK  render /category/media-servers
[18:50:07] OK  render /tag/3d-printing
[18:50:07] OK  render /tag/ai
