["475a3b672c50ba881892e30f98cfe261","2019-05-16 00:01:19"]
["efbe38ec3bb8e4793a6aaea4379d8396","2019-05-16 01:34:28"]
["2484f8f6d280d7f2c05a226e1c17226e","2019-05-16 02:13:16"]
["9963fc48fc9d7275675907be86dfbbe0","2019-05-16 02:30:50"]
["e7b32059506f6d62fb0ff060c5ac9258","2019-05-16 02:52:28"]
["cb5b9566e24d18f4c6eb65f78fab8c2b","2019-05-16 04:07:14"]
["606992d7aaae601a88ea3501e2330e76","2019-05-16 05:03:24"]
["5a8d991fbd078efe1ddbd5b1f808bbe4","2019-05-16 05:32:00"]
["35f0a9a65bb4f44bfb7d72a992bd2447","2019-05-16 05:44:40"]
["24642343fe2bee5571e950899fe87f40","2019-05-16 06:36:47"]
["bfceb083eab20598bc1869194a804469","2019-05-16 06:43:30"]
["bfceb083eab20598bc1869194a804469","2019-05-16 06:44:17"]
["06d00c104306d9ae57518fdd29fd199e","2019-05-16 07:00:05"]
["06d00c104306d9ae57518fdd29fd199e","2019-05-16 07:00:14"]
["06d00c104306d9ae57518fdd29fd199e","2019-05-16 07:00:28"]
["a17bd260a04b46f928920b91ae257561","2019-05-16 07:12:08"]
["c97aec9ad1fa1b6737aa12dcf4bef601","2019-05-16 08:58:12"]
["db3b820205018563ba7b3d483f57a2e6","2019-05-16 09:03:19"]
["3db617851c68cc80adf12f4e62133180","2019-05-16 09:22:34"]
["2098dbe6e6ebc611bfb6fb1108ffda3d","2019-05-16 09:30:31"]
["2484f8f6d280d7f2c05a226e1c17226e","2019-05-16 09:34:09"]
["f13069ed1e4f2b93a20185f054b9e1f2","2019-05-16 09:37:00"]
["35f0a9a65bb4f44bfb7d72a992bd2447","2019-05-16 10:15:22"]
["606992d7aaae601a88ea3501e2330e76","2019-05-16 10:41:23"]
["4716466a286adcf11869ae14dbb0e809","2019-05-16 11:07:01"]
["ca5d6e81e85723050dfb4b6625932561","2019-05-16 11:29:49"]
["b2015966bf79708dbe34050775517a55","2019-05-16 13:03:58"]
["b2486dd479f3becda033dc8488798a78","2019-05-16 14:35:16"]
["cd0ddcbc3bf2f56ab898abebee434cb3","2019-05-16 15:27:02"]
["cb5b9566e24d18f4c6eb65f78fab8c2b","2019-05-16 15:59:44"]
["15d6ff04a73983efa352003b9772c2ae","2019-05-16 17:27:06"]
