["c489200aca3724c6f0e596d0e8ae645f","2019-05-19 00:37:48"]
["f9458204ba3fc92c8463f4c69b803946","2019-05-19 00:37:55"]
["0031421bcd26cf6bdb0551f33d2efd8b","2019-05-19 00:54:06"]
["3398ef77f0ac35808d9658392ea6b587","2019-05-19 01:23:35"]
["cb5b9566e24d18f4c6eb65f78fab8c2b","2019-05-19 01:28:09"]
["9a55e6dd7bc61da38a225ceb15dbe8b2","2019-05-19 01:41:00"]
["7bf1d3450465d30a12ecc50e1ac88764","2019-05-19 01:41:38"]
["fd419003bfaf0f764be7ed654a9af065","2019-05-19 02:34:38"]
["0425ae6f5a0254004eaa2a9260201af8","2019-05-19 03:39:56"]
["d2ac2a590c8d271ed250db750e697a89","2019-05-19 03:48:02"]
["7885f7a1b46f7ca7195af20add00d9e3","2019-05-19 03:51:33"]
["1bf4f395014ab53c0ae4a9a557c52fb1","2019-05-19 04:53:42"]
["35f0a9a65bb4f44bfb7d72a992bd2447","2019-05-19 06:12:39"]
["eaa4988b0bee53ac196be74843dffd3d","2019-05-19 07:23:42"]
["93827ef52c519f13095510b4740a7cb0","2019-05-19 07:32:48"]
["cd0ddcbc3bf2f56ab898abebee434cb3","2019-05-19 07:49:01"]
["a9f2ddaff4e43d2d02bde849c85437d5","2019-05-19 08:43:57"]
["24642343fe2bee5571e950899fe87f40","2019-05-19 09:37:35"]
["7e09389f11819cc325c71fa9207669d6","2019-05-19 10:06:20"]
["2466c0165e22f407fa046da760fad10c","2019-05-19 11:26:58"]
["b665a93833e8dbb57e5427e3bfcba57e","2019-05-19 11:31:50"]
["4abfb2e7fb397c13728553651312e6d2","2019-05-19 11:37:16"]
["4abfb2e7fb397c13728553651312e6d2","2019-05-19 11:37:16"]
["9b0c67ffcfeb584b8f32b47a856b8122","2019-05-19 11:42:16"]
["1572f80fc31b53485cba73e73db821ac","2019-05-19 12:41:39"]
["1572f80fc31b53485cba73e73db821ac","2019-05-19 12:41:41"]
["475a3b672c50ba881892e30f98cfe261","2019-05-19 14:54:32"]
["c3752b496089ca3e6cc8f81de108951a","2019-05-19 15:13:04"]
["f70aaad5739f3806f71070bce9851433","2019-05-19 15:15:04"]
["dfdc56f5eff49d3ea41f341d7e982854","2019-05-19 15:50:54"]
["f418e5c67eeae4842025800f4c912601","2019-05-19 16:00:23"]
["cd0ddcbc3bf2f56ab898abebee434cb3","2019-05-19 16:30:51"]
["cdddc0733ed7a716ccc4e7a807441682","2019-05-19 17:54:48"]
["24642343fe2bee5571e950899fe87f40","2019-05-19 18:44:06"]
["b6284214a01a1ddd1f3d11ea77113270","2019-05-19 19:16:49"]
["b6284214a01a1ddd1f3d11ea77113270","2019-05-19 19:16:50"]
["c09cb4a6fb6da33e9ea8bf37bc1a40a7","2019-05-19 19:48:24"]
["73bd8ea2412f0dbad8566a3c9c232d5b","2019-05-19 19:53:20"]
["541ce05e719995ac4969a738a3eb3b6c","2019-05-19 19:53:22"]
["35f0a9a65bb4f44bfb7d72a992bd2447","2019-05-19 20:34:51"]
["1c960279e3677cbc76f3f9359533dfe6","2019-05-19 20:55:11"]
["cb49e382a43116d849fcebbf19bebecd","2019-05-19 21:15:44"]
["1affc185cc85f2bf609b5d1caf0601db","2019-05-19 22:47:11"]
["0031421bcd26cf6bdb0551f33d2efd8b","2019-05-19 22:52:45"]
["c9a75c6b982b4421d26d2c7b7e01fa91","2019-05-19 23:10:37"]
["37aab8a9f06b2ca2d049a7a401845ba9","2019-05-19 23:37:04"]
["81b1f5455f6f67ec6cdbae5433df92d0","2019-05-19 23:43:01"]
["81b1f5455f6f67ec6cdbae5433df92d0","2019-05-19 23:43:03"]
