["291bd851cf9317b9f62f60c03794c28e","2019-05-20 00:13:05"]
["475a3b672c50ba881892e30f98cfe261","2019-05-20 00:38:12"]
["e303468b0fe16a6bde4fc5a3576ea03d","2019-05-20 00:53:18"]
["c894d385ab7a834d9f32b13cbc422ddb","2019-05-20 01:52:44"]
["e3fe3b4fe50703a14f49d7412a33aa51","2019-05-20 01:56:33"]
["531a170b2383b58145cb2edf34f1478f","2019-05-20 02:00:05"]
["e6fb7021acaff78a3d211698ff27c680","2019-05-20 02:48:53"]
["f491c9868c35ac5e7ed5dfcbb6df7aca","2019-05-20 02:59:25"]
["35f0a9a65bb4f44bfb7d72a992bd2447","2019-05-20 04:07:21"]
["876d6a5ba3a706c700250dfe9b4ccbaf","2019-05-20 04:30:57"]
["4c2d9c875086eb653a10c430e632ea36","2019-05-20 04:38:00"]
["475a3b672c50ba881892e30f98cfe261","2019-05-20 06:24:43"]
["f491c9868c35ac5e7ed5dfcbb6df7aca","2019-05-20 06:29:08"]
["4b882225fc4a1d953ffb574354f34696","2019-05-20 07:25:00"]
["9dd739b0f350a8ab3e982172d307bc06","2019-05-20 07:38:59"]
["9dd666dad6da341afe993dbc821d5876","2019-05-20 08:06:50"]
["87f74055787893d0488a0a0f3d4ec8c8","2019-05-20 08:28:35"]
["e5692178da76a3e0dcdc8c1cefacd55e","2019-05-20 08:39:23"]
["235431504cb66396379734d14c45d810","2019-05-20 09:21:59"]
["0031421bcd26cf6bdb0551f33d2efd8b","2019-05-20 09:38:01"]
["65c897429e39ab48948b44529a14f0fb","2019-05-20 09:45:02"]
["39e1555e1b70b25ba471db063253a0e2","2019-05-20 10:31:20"]
["f2ea96ddef22e41528da57d2f44e7fe9","2019-05-20 11:47:54"]
["48ae12479d7d09ba827f3e4966a30f30","2019-05-20 12:42:36"]
["8de8e4fec27972dac502ffc1ed51b652","2019-05-20 12:56:10"]
["12e3e32477c200ffef3343ca15413f0f","2019-05-20 13:25:48"]
["35f0a9a65bb4f44bfb7d72a992bd2447","2019-05-20 13:51:30"]
["c25d54e761d67f68046606a1e35819e2","2019-05-20 13:55:51"]
["2fa7f6f334989037a51d7820d6deda2f","2019-05-20 13:57:22"]
["ae327065b016ee9bd6c49244070291e1","2019-05-20 14:02:27"]
["bea63182db630d6c0109bc86c5e5bbd5","2019-05-20 15:20:42"]
["1591108ac000141cf2088c2e8ef39f2e","2019-05-20 15:43:07"]
["2484f8f6d280d7f2c05a226e1c17226e","2019-05-20 16:06:58"]
["0425ae6f5a0254004eaa2a9260201af8","2019-05-20 16:07:16"]
["7d85f834845745f23e4c9f05ceed0af1","2019-05-20 16:07:19"]
["c4cdfd7fbe78d269b49c8f2b1fa16664","2019-05-20 16:24:47"]
["39cd849e2ebc3fda341a36307ede02ec","2019-05-20 16:43:17"]
["34a6a9f07d187fd7b6844e3082ccb50e","2019-05-20 19:38:17"]
["55734559ae83a308131f67b5717977ba","2019-05-20 20:06:12"]
["f491c9868c35ac5e7ed5dfcbb6df7aca","2019-05-20 20:10:49"]
["97558005bfcd800a2964fe1ea2df94bf","2019-05-20 20:44:00"]
["caedcaa1b6f9c19b7ceecb5b58786c9f","2019-05-20 21:32:39"]
["0031421bcd26cf6bdb0551f33d2efd8b","2019-05-20 21:42:13"]
["940a826829f6fe8a54874edcb4662564","2019-05-20 21:43:58"]
["475a3b672c50ba881892e30f98cfe261","2019-05-20 21:57:02"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:35"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:35"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:35"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:35"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:35"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:35"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:35"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:35"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:39"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:39"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:39"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:39"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:39"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:39"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:39"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:39"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:48"]
["bfceb083eab20598bc1869194a804469","2019-05-20 22:07:48"]
