["b7891402fa4b18fd5af85f6ab401d29b","2019-05-21 00:10:54"]
["65bd99df2b62a9464625125cc6c5e3d9","2019-05-21 00:58:39"]
["06e1516c31c52a1475a089ac7bb77b52","2019-05-21 01:07:22"]
["0537dbacdfc6f388a7bde75a55579342","2019-05-21 01:10:54"]
["858889a2884e7a5c5c5d24397ce33a9b","2019-05-21 03:40:23"]
["60e1b628ba62a85a9de775426381a8cb","2019-05-21 03:46:57"]
["24642343fe2bee5571e950899fe87f40","2019-05-21 04:16:56"]
["9b0c67ffcfeb584b8f32b47a856b8122","2019-05-21 04:32:47"]
["f491c9868c35ac5e7ed5dfcbb6df7aca","2019-05-21 05:51:32"]
["bfceb083eab20598bc1869194a804469","2019-05-21 06:09:35"]
["bfceb083eab20598bc1869194a804469","2019-05-21 06:09:36"]
["55013cecfab3259d95d70a2e3fe20708","2019-05-21 07:09:40"]
["50d7749ecbe227dde8f6b2d6e8344ae5","2019-05-21 07:38:31"]
["f5cc2d61a9723cced70f24e8bccf2dad","2019-05-21 07:50:45"]
["99518921142fadcb7e81b5b36746d0e4","2019-05-21 08:17:25"]
["b6441604a60ccdaa6451fbc21ec13e51","2019-05-21 09:17:04"]
["f491c9868c35ac5e7ed5dfcbb6df7aca","2019-05-21 09:35:56"]
["9b0c67ffcfeb584b8f32b47a856b8122","2019-05-21 09:49:26"]
["475a3b672c50ba881892e30f98cfe261","2019-05-21 11:30:56"]
["2a97d8cbfcdbae0034debc55d5dd0fe7","2019-05-21 12:30:54"]
["857f8d1ec131a0b88217948f5020a666","2019-05-21 12:56:33"]
["3ea3922b39d6a9f3f7194521030b3d10","2019-05-21 13:39:21"]
["31629b004ed4852c3428ec0ea7ba5ade","2019-05-21 13:45:42"]
["d69d2ee6d606205db0a1fcccb9cb1512","2019-05-21 14:50:24"]
["f491c9868c35ac5e7ed5dfcbb6df7aca","2019-05-21 14:57:09"]
["4a514fd8f930bf7207cf1d67706032e2","2019-05-21 17:28:30"]
["66ebf0e738de5d33f6a378e98c7a3dfe","2019-05-21 17:44:50"]
["b51ea037d522f842e5ea9246e96e84af","2019-05-21 17:52:14"]
["cb5b9566e24d18f4c6eb65f78fab8c2b","2019-05-21 18:32:26"]
["24642343fe2bee5571e950899fe87f40","2019-05-21 19:31:44"]
["cb5b9566e24d18f4c6eb65f78fab8c2b","2019-05-21 20:02:01"]
["0faa251554f71b6e02cb53df5e0232a5","2019-05-21 20:40:57"]
["a6d6caaa0f559e1e67cf77b303d0c74f","2019-05-21 20:59:12"]
["76b6466cd9eb3da0b771995a0d6aacf3","2019-05-21 21:19:49"]
["3964b51ee9888e1c05a648822157c440","2019-05-21 23:17:55"]
["2484f8f6d280d7f2c05a226e1c17226e","2019-05-21 23:33:14"]
