["f19b25eec9a815cd86dba327f3023f26","2019-05-22 00:00:13"]
["9152fb262c908301cdd5922c3dc5f387","2019-05-22 01:37:48"]
["475a3b672c50ba881892e30f98cfe261","2019-05-22 02:27:06"]
["b2015966bf79708dbe34050775517a55","2019-05-22 03:21:08"]
["cd381ec74fdee5f8e05cbc4fe6cf2dca","2019-05-22 03:38:18"]
["f491c9868c35ac5e7ed5dfcbb6df7aca","2019-05-22 05:32:09"]
["8bc588569345faaff2295080a8506dee","2019-05-22 05:54:14"]
["8bc588569345faaff2295080a8506dee","2019-05-22 05:54:14"]
["0277159cca89f3de8997f1b45f980f6b","2019-05-22 06:29:02"]
["0425ae6f5a0254004eaa2a9260201af8","2019-05-22 06:42:53"]
["0031421bcd26cf6bdb0551f33d2efd8b","2019-05-22 07:31:27"]
["35f0a9a65bb4f44bfb7d72a992bd2447","2019-05-22 08:02:39"]
["6791e9b75efb9ca21b898962779fa748","2019-05-22 08:54:20"]
["84e869b359ae1d776daee055da454da3","2019-05-22 10:55:17"]
["ce78a8d17a16c99112b6d4ade737bbfc","2019-05-22 11:36:08"]
["0031421bcd26cf6bdb0551f33d2efd8b","2019-05-22 11:53:59"]
["4b87853ef6a94bd6c3e3615800f7d8d2","2019-05-22 12:05:44"]
["4b87853ef6a94bd6c3e3615800f7d8d2","2019-05-22 12:05:44"]
["35f0a9a65bb4f44bfb7d72a992bd2447","2019-05-22 12:34:51"]
["081bf4a4b9ed00c5cac159974edec1dd","2019-05-22 14:10:42"]
["73bd8ea2412f0dbad8566a3c9c232d5b","2019-05-22 14:26:27"]
["2484f8f6d280d7f2c05a226e1c17226e","2019-05-22 15:34:19"]
["fe34a402063441e00ef9c3c8ba706c38","2019-05-22 16:21:05"]
["35f0a9a65bb4f44bfb7d72a992bd2447","2019-05-22 16:52:57"]
["931c549b2448e62c9caed0a038bef9ac","2019-05-22 18:34:12"]
["f92f9e4f617cbb99f10d59d09b40e5cf","2019-05-22 19:37:02"]
["2de57adb01d3320942997ece94eb8a92","2019-05-22 20:39:15"]
["2484f8f6d280d7f2c05a226e1c17226e","2019-05-22 21:10:16"]
["9b0c67ffcfeb584b8f32b47a856b8122","2019-05-22 22:32:57"]
["6e030428ddf2b9e6e42bf176d40b3100","2019-05-22 22:46:04"]
["3c3e17f4e05af5a0a6c518e6b0c3fd76","2019-05-22 22:59:32"]
["f491c9868c35ac5e7ed5dfcbb6df7aca","2019-05-22 23:10:20"]
["5342ad8c73c4ad7f90eb65f1435c5fd6","2019-05-22 23:12:22"]
["76ee62f99e07472739546f2c4ebcdf14","2019-05-22 23:37:35"]
