["fd859039f899cef2cc8b2ae0912b87d4","2019-05-28 03:01:12"]
["8eab6eb2b180ea061694f272c6ae215c","2019-05-28 03:41:03"]
["0031421bcd26cf6bdb0551f33d2efd8b","2019-05-28 04:10:54"]
["af4372e84dc77042f078dc073f30059f","2019-05-28 04:34:08"]
["475a3b672c50ba881892e30f98cfe261","2019-05-28 04:52:56"]
["1e30086e16649b996d80a7507657b6dd","2019-05-28 05:04:59"]
["d3c00a82531171ed55f7cfacdc81e060","2019-05-28 06:43:32"]
["90df083b520cb5a812329ad4b9cb0509","2019-05-28 07:36:36"]
["cd0ddcbc3bf2f56ab898abebee434cb3","2019-05-28 08:21:04"]
["cb5b9566e24d18f4c6eb65f78fab8c2b","2019-05-28 08:50:08"]
["380c7774b77deedd42e0a69f8fd35288","2019-05-28 09:29:11"]
["10d38d8d8acdb5e205130fc010f75a30","2019-05-28 09:40:11"]
["77c1d14cfaaedc466aacb04a24012954","2019-05-28 10:37:29"]
["c66cfa83fae94f91753e0fc12e4447c1","2019-05-28 10:42:55"]
["23f9b1bfccd36cee3f822a0e10d312bd","2019-05-28 11:07:13"]
["cd0ddcbc3bf2f56ab898abebee434cb3","2019-05-28 11:10:32"]
["475a3b672c50ba881892e30f98cfe261","2019-05-28 11:55:47"]
["63e1901d12f7e26efaed10603fcbaccd","2019-05-28 11:56:05"]
["246e72a1ec4c158a245f9f37a4df5beb","2019-05-28 12:02:36"]
["0425ae6f5a0254004eaa2a9260201af8","2019-05-28 15:14:39"]
["8ec2479784e6419027cac1c20ad0fdb5","2019-05-28 16:15:46"]
["51d0f32bdb4ce33898aed26c33bef65d","2019-05-28 16:27:57"]
["7e8b67b73e2d80b0b9d427ef833f6e07","2019-05-28 16:43:43"]
["cd0ddcbc3bf2f56ab898abebee434cb3","2019-05-28 17:32:51"]
["9f2f007ddcb96838eaba2ea8e89d24c5","2019-05-28 17:42:51"]
["8c8aa1c3e3866e1c04b474f563337ac5","2019-05-28 17:43:57"]
["9369f18919b6acb33903672710458cc1","2019-05-28 18:06:01"]
["b8315c956a86f9f3abbed819a9a8dcc7","2019-05-28 18:43:50"]
["b8315c956a86f9f3abbed819a9a8dcc7","2019-05-28 18:43:53"]
["b8315c956a86f9f3abbed819a9a8dcc7","2019-05-28 18:49:19"]
["475a3b672c50ba881892e30f98cfe261","2019-05-28 19:11:11"]
["cd0ddcbc3bf2f56ab898abebee434cb3","2019-05-28 19:51:04"]
["bfceb083eab20598bc1869194a804469","2019-05-28 21:06:08"]
["bfceb083eab20598bc1869194a804469","2019-05-28 21:32:55"]
["bfceb083eab20598bc1869194a804469","2019-05-28 21:33:13"]
["bfceb083eab20598bc1869194a804469","2019-05-28 21:34:06"]
["bfceb083eab20598bc1869194a804469","2019-05-28 21:40:23"]
["d56d08943ea378cbcdc42a18b44185ad","2019-05-28 21:40:24"]
["bfceb083eab20598bc1869194a804469","2019-05-28 21:42:47"]
["bfceb083eab20598bc1869194a804469","2019-05-28 21:42:59"]
["150e36956755a8b9f8ef615c1c585d44","2019-05-28 21:43:32"]
["bfceb083eab20598bc1869194a804469","2019-05-28 21:51:33"]
["150e36956755a8b9f8ef615c1c585d44","2019-05-28 21:52:01"]
["1a5400b605ed4b70d9d02d71a1fa8d87","2019-05-28 21:53:19"]
