["17fbe6e7828ef281500df2c2b70e9df3","2019-05-30 00:16:03"]
["fb1f067bb20421083df5de543a0e43c7","2019-05-30 00:55:50"]
["24642343fe2bee5571e950899fe87f40","2019-05-30 01:06:01"]
["475a3b672c50ba881892e30f98cfe261","2019-05-30 01:55:34"]
["a7659e21411c2c67aa609ffbb5853897","2019-05-30 02:34:36"]
["24642343fe2bee5571e950899fe87f40","2019-05-30 02:42:06"]
["ad167ccb3d299b9ca5b2f85fae3dedd1","2019-05-30 05:31:03"]
["475a3b672c50ba881892e30f98cfe261","2019-05-30 05:43:53"]
["ba978e8bdaf408447114803aafb4c13d","2019-05-30 06:08:49"]
["e1d620a71240ca0189ef74cb6aeef733","2019-05-30 07:09:38"]
["bfdb0793ea9124ae44b978790ff399cc","2019-05-30 07:10:38"]
["6291f21fe0a8eaac47a0b9fcfd29e50c","2019-05-30 07:27:12"]
["cd0ddcbc3bf2f56ab898abebee434cb3","2019-05-30 07:34:29"]
["35f0a9a65bb4f44bfb7d72a992bd2447","2019-05-30 07:38:28"]
["bfceb083eab20598bc1869194a804469","2019-05-30 07:48:52"]
